3445 0.620653 0.804903 
2 0.000002 0.000001 
3399 0.602222 0.667096 
2906 0.516416 0.473310 
2896 0.507691 0.481479 
5490 1.426678 2.050923 
3597 0.621145 0.739033 
4960 1.183201 1.597484 
4417 1.278939 1.377165 
3922 0.699009 1.003507 
1210 0.118929 0.063703 
3798 0.658541 0.966994 
5591 1.456465 2.295124 
1348 0.147154 0.079942 
41 0.000452 0.000059 
1810 0.201345 0.152037 
4432 1.011999 1.347056 
99 0.001754 0.000374 
2238 0.338011 0.267355 
594 0.036894 0.013565 
5135 1.244423 1.887135 
5459 1.448583 2.237141 
4587 1.039256 1.456159 
5071 1.243424 1.695556 
2729 0.456366 0.427633 
3816 0.668840 0.920453 
1927 0.217256 0.173321 
961 0.070416 0.044035 
311 0.015728 0.004288 
1410 0.151315 0.093704 
1825 0.213025 0.169163 
455 0.021316 0.008764 
3327 0.591003 0.631401 
2307 0.336820 0.262654 
3095 0.516797 0.505250 
5544 1.440750 2.103839 
4758 1.113373 1.565651 
4392 0.979485 1.284102 
1166 0.111335 0.059782 
3463 0.599587 0.684131 
5988 1.554522 2.659084 
112 0.002093 0.000403 
4618 1.086307 1.391925 
2567 0.423217 0.354918 
3745 0.638078 0.762685 
1681 0.190796 0.128813 
4797 1.147674 1.533575 
4282 0.885109 1.059528 
5391 1.363726 2.027837 
1686 0.189270 0.131368 
595 0.037382 0.014771 
5513 1.691609 2.196094 
549 0.031415 0.013571 
3506 0.617406 0.783495 
679 0.052647 0.023532 
4327 1.024583 1.264499 
915 0.068170 0.036412 
4898 1.178377 1.526268 
2547 0.392335 0.325470 
3386 0.589714 0.688203 
5868 1.544607 2.396621 
2405 0.370317 0.303779 
960 0.069635 0.038933 
5476 1.388239 2.024274 
527 0.027010 0.011392 
2493 0.378139 0.319904 
5711 1.464079 2.247668 
5379 1.345393 2.030285 
2530 0.384644 0.313168 
4790 1.107176 1.481295 
822 0.060815 0.030868 
601 0.037722 0.014037 
4389 0.931850 1.160616 
1595 0.176139 0.114468 
648 0.042192 0.016315 
1778 0.200135 0.142456 
5607 1.391820 2.165196 
904 0.065269 0.033931 
2662 0.426855 0.354225 
3970 0.669736 0.979828 
3223 0.556469 0.603834 
3217 0.554115 0.574140 
3166 0.534992 0.533405 
5619 1.420349 2.296340 
2820 0.465273 0.402466 
734 0.049672 0.019994 
3425 0.588929 0.629458 
1931 0.212647 0.178702 
1892 0.214076 0.176282 
4876 1.151559 1.533102 
711 0.048024 0.019176 
1921 0.214005 0.165571 
3219 0.548312 0.565562 
1697 0.189995 0.130272 
1991 0.218095 0.187222 
4420 0.951734 1.262648 
3366 0.589306 0.883699 
2619 0.447174 0.380463 
190 0.005518 0.001372 
3640 0.788054 0.869775 
5162 1.400614 1.937121 
3494 0.743410 0.973319 
1036 0.082393 0.053889 
5777 1.498645 2.690996 
5712 1.803594 2.476841 
572 0.034057 0.013544 
411 0.019167 0.006685 
5253 1.319503 1.905825 
1045 0.086896 0.050719 
1368 0.152870 0.084233 
1924 0.220876 0.187629 
2057 0.243174 0.210371 
5500 1.518926 2.159887 
4666 1.188714 1.357246 
2643 0.473714 0.430241 
5848 1.475345 2.804193 
4831 1.284699 1.844178 
3229 0.550742 0.577551 
5483 1.530177 2.298375 
718 0.049652 0.021416 
2108 0.263331 0.215126 
3225 0.550909 0.533441 
3028 0.498545 0.496393 
5381 1.327583 1.995297 
2244 0.317290 0.258235 
5833 1.602196 2.912238 
2754 0.483954 0.409340 
4405 1.057169 1.383256 
978 0.087960 0.055323 
5146 1.370384 1.756897 
